MD	INC	AZM	DAD2_GW6	UAD2_GW6	AD2_GW6	AM2_GW6	DAD4_GW6	UAD4_GW6	AD4_GW6	AM4_GW6	AU1_GW6	DAU1_GW6	UAU1_GW6	DPD2_GW6	UPD2_GW6	PD2_GW6	PM2_GW6	DPD4_GW6	UPD4_GW6	PD4_GW6	PM4_GW6	PU1_GW6	DPU1_GW6	UPU1_GW6	RDAD2_GW6	RUAD2_GW6	RAD2_GW6	RAM2_GW6	RDAD4_GW6	RUAD4_GW6	RAD4_GW6	RAM4_GW6	RAU1_GW6	RDAU1_GW6	RUAU1_GW6	RDPD2_GW6	RUPD2_GW6	RPD2_GW6	RPM2_GW6	RDPD4_GW6	RUPD4_GW6	RPD4_GW6	RPM4_GW6	RPU1_GW6	RDPU1_GW6	RUPU1_GW6	QPd2_GW6	QPd4_GW6	QPu1_GW6	QAd2_GW6	QAd4_GW6	QAu1_GW6	XAU1_GW6	XYAU1_GW6	DXAU1_GW6	UXAU1_GW6	XPU1_GW6	XYPU1_GW6	DXPU1_GW6	UXPU1_GW6	RXAU1_GW6	RXYAU1_GW6	RDXAU1_GW6	RUXAU1_GW6	RXPU1_GW6	RXYPU1_GW6	RDXPU1_GW6	RUXPU1_GW6	QXPu1_GW6	QXAu1_GW6	Rhfm	Rvfm	TVD	NS	EW	VS	LD	TVDSS	DLS	TSD
.FT	.deg	.deg	.dB	.dB	.dB	.dB	.dB	.dB	.dB	.dB	.dB	En Zona	.dB	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.deg	.deg	.deg	.dB	.dB	.dB	.dB	.dB	.dB	.dB	.deg	.deg	.deg	.deg	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.deg	.dB	.Ohmm	.Ohmm	.FT	.FT	.FT	.FT	.FT	.FT	.deg/100ft	.FT
11400	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47729	Cerca del TECHO	-2.47729	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.97867	30.97869	30.97864	1	1	1	1	1	1	1	1	0.999994	0.999994	0.999995	1	1	1	1	1	1	1	1	0.999988	0.999987	0.999989	0	0	-5.10E-05	0	0	-2.00E-06	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5122.018	1394.673	0	1394.673	1394.673	122.018	-999.25	5122.018
11410	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47727	Cerca del TECHO	-2.47727	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.9788	30.97884	30.97876	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999981	0.99998	0.999983	0	0	-7.70E-05	0	0	0.000001	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5122.89	1404.635	0	1404.635	1404.635	122.8896	-999.25	5122.89
11420	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47725	Cerca del TECHO	-2.47725	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.97894	30.979	30.97889	1	1	1	1	1	1	1	1	1.000015	1.000017	1.000013	1	1	1	1	1	1	1	1	0.999975	0.999972	0.999977	0	0	-0.00011	0	0	0.000007	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5123.761	1414.596	0	1414.596	1414.596	123.7612	-999.25	5123.761
11430	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.4772	Cerca del TECHO	-2.47721	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.97905	30.97911	30.97899	1	1	1	1	1	1	1	1	1.000041	1.000046	1.000036	1	1	1	1	1	1	1	1	0.99997	0.999967	0.999973	0	0	-0.00013	0	0	0.000017	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5124.633	1424.558	0	1424.558	1424.558	124.6327	-999.25	5124.633
11440	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47713	Cerca del TECHO	-2.47714	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.97905	30.97911	30.97899	1	1	1	1	1	1	1	1	1.000081	1.00009	1.000072	1	1	1	1	1	1	1	1	0.99997	0.999967	0.999973	0	0	-0.00012	0	0	0.000033	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5125.504	1434.52	0	1434.52	1434.52	125.5043	-999.25	5125.504
11450	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47703	Cerca del TECHO	-2.47705	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.97882	30.97885	30.97879	1	1	1	1	1	1	1	1	1.000135	1.00015	1.000119	1	1	1	1	1	1	1	1	0.99998	0.999979	0.999982	0	0	-5.90E-05	0	0	0.000056	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5126.376	1444.482	0	1444.482	1444.482	126.3758	-999.25	5126.376
11460	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47691	Cerca del TECHO	-2.47695	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.97821	30.97816	30.97826	1	1	1	1	1	1	1	1	1.0002	1.000222	1.000177	1	1	1	1	1	1	1	1	1.000012	1.000014	1.000009	0	0	0.000095	0	0	0.000082	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5127.247	1454.444	0	1454.444	1454.444	127.2474	-999.25	5127.247
11470	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47679	Cerca del TECHO	-2.47684	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.97701	30.97681	30.9772	1	1	1	1	1	1	1	1	1.000265	1.000295	1.000236	1	1	1	1	1	1	1	1	1.000083	1.000094	1.000071	0	0	0.000397	0	0	0.000109	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5128.119	1464.406	0	1464.406	1464.406	128.1189	-999.25	5128.119
11480	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47671	Cerca del TECHO	-2.47677	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.97499	30.97453	30.97544	1	1	1	1	1	1	1	1	1.000309	1.000342	1.000275	1	1	1	1	1	1	1	1	1.000202	1.000228	1.000175	0	0	0.00091	0	0	0.000124	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5128.99	1474.368	0	1474.368	1474.368	128.9905	-999.25	5128.99
